customer_id,name,email,region,signup_date
CUST1000,Allison Hill,fbrewer@mcguire-davis.com,West,2025-04-19
CUST1001,Noah Rhodes,kevinperkins@yahoo.com,South,2023-10-26
CUST1002,Angie Henderson,jbarajas@yahoo.com,East,2024-04-12
CUST1003,Daniel Wagner,qnelson@gmail.com,South,2023-12-04
CUST1004,Cristian Santos,leslienewton@lopez.org,West,2025-02-17
CUST1005,Connie Lawrence,wallkenneth@yahoo.com,East,2024-07-21
CUST1006,Abigail Shaffer,alexis82@williams-brown.com,East,2024-12-15
CUST1007,Gina Moore,agarcia@mitchell.com,East,2024-02-15
CUST1008,Gabrielle Davis,ewilson@yahoo.com,South,2025-02-08
CUST1009,Ryan Munoz,rayglenda@gmail.com,East,2023-12-22
CUST1010,Monica Herrera,christopher31@duran.com,West,2023-08-10
CUST1011,Jamie Arnold,tkerr@hotmail.com,South,2025-02-22
CUST1012,Lisa Hensley,ashley09@hotmail.com,South,2024-04-17
CUST1013,Michele Williams,colleenbaker@moore.net,East,2025-04-05
CUST1014,Dylan Miller,aaronhayes@harrison.com,East,2024-03-16
CUST1015,Brian Ramirez,mcdanielsandra@hotmail.com,East,2024-10-14
CUST1016,Holly Wood,owilson@hernandez.com,South,2025-01-04
CUST1017,Derek Zuniga,brooke94@martinez-barker.biz,South,2025-03-10
CUST1018,Lisa Jackson,mkim@gmail.com,West,2023-12-28
CUST1019,Carla Gray,cassandra01@gmail.com,West,2023-12-14
CUST1020,Margaret Hawkins DDS,barbara27@pearson.org,West,2024-11-16
CUST1021,Patty Perez,ecosta@yahoo.com,East,2025-05-25
CUST1022,Ethan Adams,manuel12@yahoo.com,East,2024-12-08
CUST1023,Tommy Walter,zroberts@hotmail.com,South,2025-06-26
CUST1024,Matthew Foster,qmiller@wilson-barton.net,South,2024-06-09
CUST1025,Judy Baker,mgutierrez@cox.com,North,2025-05-03
CUST1026,Justin Baker,andrea47@washington.com,East,2024-06-27
CUST1027,Stephanie Ross,andrea86@walker.info,North,2024-09-03
CUST1028,Zachary Hicks,tyronemoran@thornton.info,East,2024-04-10
CUST1029,Anthony Rodriguez,yarnold@weeks.com,West,2023-10-06
CUST1030,Rebecca Henderson,kendra65@adams.org,North,2024-06-06
CUST1031,James Ferrell,seanwashington@yahoo.com,North,2024-12-31
CUST1032,Tricia Valencia,mcantu@hotmail.com,West,2023-10-13
CUST1033,Nathan Maldonado,xhall@williams-garner.biz,South,2023-12-21
CUST1034,Debra Davidson,tylerjohnson@hotmail.com,North,2023-11-17
CUST1035,Jeffrey Chavez,sawyerscott@hotmail.com,East,2024-08-04
CUST1036,Sherri Baker,bowenrobert@hotmail.com,East,2024-04-07
CUST1037,Cassandra Gaines,harrisontanya@hanson-sanders.com,South,2025-07-26
CUST1038,Elizabeth Fowler,ofinley@hotmail.com,South,2024-02-08
CUST1039,Brittany Farmer,williamsonjimmy@hotmail.com,South,2023-08-05
CUST1040,Paula Moreno,juliehamilton@gmail.com,North,2024-02-18
CUST1041,Fred Smith,tjackson@williams.com,South,2024-05-23
CUST1042,Sherry Decker,ryan38@yahoo.com,North,2024-01-29
CUST1043,Anthony Humphrey,gregorylynch@harvey-allen.org,West,2024-07-11
CUST1044,Angelica Tucker,stevenking@estrada-nolan.info,South,2025-03-07
CUST1045,Philip Cannon,charleslandry@hotmail.com,South,2024-02-23
CUST1046,John Pierce,dvaughn@yahoo.com,East,2024-04-12
CUST1047,Shane Henderson,gcastaneda@james.org,South,2024-03-21
CUST1048,Joshua Blair,andrew64@gmail.com,East,2024-10-25
CUST1049,Eric Carney,swall@lawson.com,North,2025-02-11
CUST1050,Jessica Holmes,erica21@lucas.org,East,2024-10-17
CUST1051,Danny Morgan,christopherphillips@hotmail.com,South,2023-08-08
CUST1052,Crystal Robinson,jamesbuchanan@yahoo.com,West,2024-02-19
CUST1053,Mark Perez,jonathansummers@yahoo.com,South,2024-12-19
CUST1054,Shannon Jones,linda71@gmail.com,South,2024-05-05
CUST1055,Michael Lewis,zcoffey@diaz.net,South,2025-01-19
CUST1056,Timothy Duncan,vrichardson@baker.com,West,2024-01-30
CUST1057,Richard Aguirre,thomasharvey@murphy.info,South,2023-09-17
CUST1058,Brent Jordan,cwilson@gmail.com,East,2024-12-30
CUST1059,John Daniel,pwilson@hotmail.com,North,2023-10-30
CUST1060,Victoria Garcia,qchavez@horton.com,East,2024-07-26
CUST1061,Gerald Hensley,basschristina@yahoo.com,West,2024-03-25
CUST1062,Connor West,jeff73@garcia-jennings.net,North,2023-12-02
CUST1063,Donald Wright,sandersjames@gmail.com,South,2024-06-09
CUST1064,Jessica Callahan,batesdarlene@hotmail.com,East,2025-01-13
CUST1065,Amber Kidd,buchananjohn@buchanan.com,North,2024-08-24
CUST1066,Tracy House,lisahall@kramer.com,West,2025-07-16
CUST1067,Carol Tucker,vanessafernandez@gmail.com,South,2025-06-25
CUST1068,James Brown,andersonmichael@chapman.com,South,2025-06-19
CUST1069,William Baker,martinezrobert@gmail.com,North,2025-01-27
CUST1070,Jordan Henderson,xwest@wheeler.org,West,2025-03-19
CUST1071,Whitney Peters,stephen00@boone-simmons.com,South,2024-03-28
CUST1072,Brittney Phillips,fjones@yahoo.com,North,2025-01-17
CUST1073,Lauren Daniels,martinezclaudia@kelley.net,South,2023-10-30
CUST1074,Amy Silva,bwagner@gmail.com,West,2024-12-08
CUST1075,Sarah Moore,russellbeasley@morgan-chavez.biz,North,2025-07-11
CUST1076,Angela Lopez,ronald45@mcdaniel.com,East,2024-03-16
CUST1077,Megan Young,daviscolin@watson.net,South,2024-05-11
CUST1078,Steve Sanchez,jenkinsmorgan@yahoo.com,South,2024-11-19
CUST1079,Lisa Barnes,caroline51@romero.com,East,2024-01-18
CUST1080,Kelly Donovan,danny49@gmail.com,West,2024-01-17
CUST1081,Mike Allen,lynchdiane@hotmail.com,South,2023-11-11
CUST1082,Michael Evans,whitejacqueline@yahoo.com,North,2024-08-05
CUST1083,Paul Jones,adam29@hotmail.com,South,2023-11-26
CUST1084,Zachary Ferrell,thomascynthia@gmail.com,South,2024-07-18
CUST1085,Daniel Baker,nicholaschavez@wood.com,East,2025-03-02
CUST1086,Shirley Suarez,moorekaren@craig.info,West,2024-11-12
CUST1087,Christopher Bass,alawson@yahoo.com,West,2024-05-16
CUST1088,Lisa Archer,reeddaniel@gregory.com,West,2024-06-17
CUST1089,Aimee Montoya,djoyce@harris.com,East,2025-01-26
CUST1090,Matthew Mcmillan,mark07@hotmail.com,South,2024-09-29
CUST1091,Brian Rodriguez,davidpatel@gmail.com,West,2025-07-08
CUST1092,Denise Jacobs,sandersjudy@yahoo.com,North,2024-07-30
CUST1093,Christina Walters,umorse@patterson.com,North,2025-03-10
CUST1094,John Whitehead,usmith@solis.info,North,2024-09-20
CUST1095,Anna Henderson,kimdaniel@yahoo.com,East,2025-04-13
CUST1096,Aaron Wise,fosterkyle@yahoo.com,South,2024-12-27
CUST1097,Deborah Figueroa,kimberly18@wilson.com,South,2025-05-02
CUST1098,Jessica Smith,joelthomas@gmail.com,East,2024-01-16
CUST1099,Stephen Mckee,kathleenrios@bean.info,South,2025-03-13
CUST1100,Sandra Aguilar,kmaldonado@hotmail.com,East,2024-02-08
CUST1101,Cameron Parker,edward17@yahoo.com,South,2025-01-09
CUST1102,Rebecca Valencia,brittany58@gmail.com,South,2025-03-08
CUST1103,Christine Wright,dhayes@yahoo.com,West,2024-11-04
CUST1104,Richard Henson,newmantiffany@gmail.com,East,2025-06-08
CUST1105,Marc Moore,ycarpenter@hotmail.com,East,2025-04-02
CUST1106,Sharon Cherry,kstout@lopez.com,South,2023-10-02
CUST1107,Sierra Johnson,shepherdmary@hotmail.com,North,2024-09-11
CUST1108,Evelyn Galvan,benjaminzimmerman@warren-bishop.com,West,2024-07-11
CUST1109,Sharon Cochran,paul59@gmail.com,North,2024-09-13
CUST1110,Richard Rodriguez,riveraangela@yahoo.com,East,2025-01-27
CUST1111,Shannon Walker,jennifer92@yahoo.com,West,2024-05-07
CUST1112,Julia Torres,sabrinacollins@hale.com,North,2023-09-29
CUST1113,Crystal Johnson,vschneider@gmail.com,North,2025-07-12
CUST1114,Garrett Lin,bromero@parker-bean.com,West,2024-10-11
CUST1115,Diana May,jeremytaylor@gmail.com,West,2023-10-26
CUST1116,William Herrera,romeroamber@hotmail.com,South,2023-09-16
CUST1117,Ashley Waller,nancy92@bennett.org,West,2025-05-04
CUST1118,Victor Baker,xwilliams@ball.info,North,2024-09-28
CUST1119,Jeffrey Chandler,kylestokes@mckee-lee.org,North,2025-07-01
CUST1120,Larry Dixon,xhammond@yahoo.com,North,2024-08-26
CUST1121,Kenneth Scott,lisasolis@gmail.com,North,2024-01-04
CUST1122,April Frost,davidsonmorgan@hotmail.com,North,2024-10-17
CUST1123,Michelle Harmon,mitchellkathryn@cole-palmer.biz,West,2024-09-19
CUST1124,Helen Jones,lisawilkerson@perry.net,South,2023-11-24
CUST1125,Erin Edwards,paulmiller@gmail.com,North,2023-12-05
CUST1126,Michelle Evans,sarah52@johnson.com,North,2024-04-10
CUST1127,Jason Powell,fgilbert@gmail.com,North,2025-05-24
